Energy(MeV),Theta(deg),Phi(deg)
0,78.9563,95.9675
1.16914,107.995,176.765
0,82.2279,118.262
0,127.35,39.0555
0.0379531,59.7648,154.853
5.00567,115.045,92.0647
0,35.1403,74.7612
0,129.502,39.7929
0.0583138,78.2474,-119.548
0,83.5269,137.523
0,49.7028,79.2521
0,27.1285,26.6747
0,61.002,21.2128
0,50.8334,17.7172
0,126.449,-0.617857
0.0422237,157.078,-26.0958
0,52.2186,31.9679
0,70.4744,165.412
0.279024,86.7895,97.5008
0,51.2947,-34.635
0.180991,50.4629,68.8069
0,72.5449,112.364
0,98.0348,121.311
0,163.31,37.7537
0,78.5545,46.1845
0.24036,91.2702,21.9406
0,76.4123,-117.261
0.660548,128.65,-109.528
1.12702,136.742,126.98
0,68.0358,175.003
0.0904806,144.351,-170.046
2.47488,159.109,-124.752
0,49.0273,-8.36143
0,23.7637,7.40032
0,55.2653,-27.2228
0.10402,99.3261,23.5129
4.14775,115.453,-92.5808
0,135.494,-35.0933
0.214128,99.0244,-156.949
0,48.2043,159.59
0,94.6015,-83.4883
0.136297,131.483,-11.3604
0,125.458,-169.038
0.0844031,116.611,-126.531
0.646161,160.497,-70.8758
1.6493,109.92,82.5641
2.92125,114.437,74.5039
3.18904,155.167,26.0299
0,128.883,-90.6339
0.656447,136.778,-155.41
0,44.9649,69.2201
0,80.8548,-159.721
0.317748,93.6843,-90.7355
0,135.638,-146.42
0.175725,107.258,-16.1298
2.47547,123.431,71.8433
0,36.0271,66.4337
0,129.518,161.99
0,87.9056,-140.774
0,124.271,-47.8331
0,133.776,6.95955
0.246125,91.1555,49.5023
0,68.8629,137.042
0,119.711,-159.33
0.26081,83.8039,151.056
0,99.3421,81.8903
0,114.924,-151.68
0,131.268,-31.776
0,87.1577,33.8665
0.427343,84.5867,-16.6741
0,71.4655,-83.2523
0,89.6945,-157.04
0.0796885,117.235,-60.5713
0,70.4293,162.663
0,142.036,-12.6508
0,127.418,-47.0124
0.657505,138.22,128.456
6.05316,131.883,160.707
40.3687,69.2589,126.127
0,70.1415,-26.1846
0.0825013,143.03,177.997
1.26697,103.688,-100.998
0,112.479,80.7966
0,120.209,-73.6105
0.0402359,140.264,158.736
0,41.0569,139.426
0,94.1063,-102.663
0.0672501,129.56,59.9203
0,106.938,101.2
0.0195122,123.793,-161.138
0,108.536,-153.396
0.534042,119.34,-146.616
0,108.431,-21.1769
0.0768337,96.2285,-164.892
0,66.7364,19.5005
0,130.028,13.8032
0.0949991,108.084,29.9081
0,129.227,-145.141
0,86.7757,85.5235
0,60.6671,-14.3284
0.0672177,112.758,-5.88372
0,60.9827,63.7759
0,37.6899,-93.6651
0.324627,102.678,-33.778
0,93.3334,-72.0858
0,44.4936,-61.7928
0.0415004,127.741,-124.689
0.978801,160.43,-43.9926
0,63.2471,6.92184
0,52.4599,47.1766
0,63.303,-161.434
0.0290813,161.345,107.606
0,152.714,73.1509
0.248647,128.231,42.32
0,39.7908,3.76207
0,106.224,131.864
0.14441,60.4542,85.3525
0,75.8419,-68.9463
0.229205,137.429,-52.6782
0,12.8682,-91.9966
0.31942,138.828,88.5008
1.32464,110.154,78.6803
0,61.1654,81.8009
0,61.2823,158.112
0,61.9797,61.3338
0.0861775,111.249,-6.03467
0,98.3732,-65.208
0,56.733,41.6656
0,53.8694,4.45047
0,114.476,-106.051
0,47.4295,-100.393
0,69.3914,39.8264
0,124.471,159.51
0,48.2563,-87.6428
0.232094,169.741,72.5897
0,101.655,-173.595
0.11605,49.947,132.037
0,28.259,173.471
0.983298,85.1514,114.926
0,162.049,-5.55194
0.102701,47.776,151.08
0,36.4799,77.3511
0.427325,113.282,-155.541
0,139.519,25.7699
0,83.0822,-16.4716
0.142121,118.347,151.474
13.0058,79.9874,-140.685
0,14.0673,-134.666
0,46.9307,-161.046
0,98.8601,34.9362
0.0729049,59.2398,-128.909
1.22834,76.3478,-113.423
0,64.4384,6.6865
0.242254,96.0312,-91.6049
0,119.365,157.576
0.373143,105.679,9.32395
0,64.0701,-161.356
0.135343,92.3505,-157.785
0.929564,174.478,5.67957
1.83519,156.164,-56.0395
0,82.6574,127.585
0.179643,76.9114,154.058
2.18392,77.9296,-3.70667
0,54.0718,30.2812
0,142.013,-136.964
0,50.0655,-37.1282
0,82.7274,7.74643
0.0765305,88.0817,60.1406
5.20435,126.15,-133.509
5.83568,116.092,-58.5419
8.24909,87.2065,32.212
0,67.465,-66.2233
0.131427,143.09,-147.342
0.494573,124.139,-48.4671
0.804877,117.265,-69.126
0,47.8309,-128.061
0,123.984,-41.003
56.84,74.6062,122.876
0,59.6184,56.3182
0.418908,137.969,165.706
0,26.9997,-117.917
0.304778,126.036,-12.3364
0,26.4811,-176.647
0.121543,92.6676,-139.489
0,19.5613,64.9372
0,79.0452,-81.9753
0,46.5734,-132.455
0,55.6641,-22.333
0,114.351,-66.4257
0.092452,60.5649,16.6202
6.7557,112.15,176
0,97.5632,-174.25
3.55619,113.616,-151.665
0.627139,85.0708,-25.583
0,60.0632,-142.494
0.0576314,109.326,119.814
0.690143,126.356,-128.67
0,33.7518,88.9844
0,165.078,60.1899
0,66.4175,-125.926
38.001,130.181,-147.418
0,78.9007,-172.363
0.0837397,145.031,-66.4705
0,52.4945,-153.516
0,88.4064,6.9877
0.0720431,97.4847,18.3551
0,54.0321,-148.176
0,51.4012,-77.8733
0.075499,95.5569,-26.0043
1.43221,82.3916,-54.5101
0,145.954,-164.556
0,113.797,-141.938
0.0160782,128.672,-170.941
0,95.0606,143.774
0.837526,59.6003,90.4581
0,42.3485,131.419
0,124.677,-132.75
0,114.12,20.0259
0,100.315,-77.0463
0.228032,113.96,-89.7482
0,35.185,-137.588
0,119.892,-126.854
0.0658614,131.565,76.753
61.3158,76.4347,-4.69652
0,35.5249,-171.077
0,29.6752,49.0853
0.0948507,42.741,159.426
0,127.568,-174.494
0.145641,143.315,-133.127
0,141.208,-35.2506
0,79.2461,41.2504
0,80.9788,129.57
0,66.4273,-86.7506
0,137.175,-29.2759
0.22729,107.28,-94.6055
0,68.9096,-87.3689
0,128.395,-21.341
0.251792,119.49,-172.06
0,94.5127,3.10675
0.0646698,38.1374,27.4773
0,50.1257,90.2087
0,32.6208,81.7254
0.0501281,106.27,-146.026
0,44.6306,-9.74043
0,115.272,-110.179
0,81.6545,178.513
0,65.9015,-44.0268
0,93.4494,10.0455
0.0998658,45.6465,-94.5964
6.30731,87.4648,-142.013
34.8952,53.3168,-173.808
0,50.322,139.393
0,110.416,-60.6876
0.133592,56.3429,149.311
0,93.1866,-162.248
0,100.998,-7.69724
0,48.246,93.1023
0,105.46,24.0837
0,68.4714,-135.238
0,126.704,121.437
0,53.0364,-22.162
0,74.2514,-39.2083
0,105.54,100.722
0,78.0639,27.6654
0,108.262,165.043
0.534062,172.75,35.6712
0,75.2274,-93.3314
0,96.7585,-168.856
0.0788322,63.7053,-119.388
0,57.93,85.2341
0,104.778,132.798
0.155211,87.0876,100.039
5.31176,90.86,105.522
0,16.0768,-125.72
0,134.989,151.109
0.162137,69.1756,-136.963
0.886087,113.725,-144.755
0,60.4712,-44.4353
0.0558799,137.202,73.4605
0,113.587,134.986
0.72614,48.6554,149.509
37.5122,105.004,-173.283
404.145,50.8553,53.1922
0,35.4499,84.8425
0.259066,128.683,58.6853
10.948,83.9047,-15.8405
0,74.1386,138.53
0.515156,46.1298,-166.283
0,19.4628,135.474
0.308454,76.9149,118.783
0,99.0812,61.9891
0.266158,120.059,-161.197
1.37611,133.49,160.419
206.351,78.2019,-62.8586
0,33.0553,101.632
0.388535,90.8221,-22.7221
0.766733,159.803,-99.6959
0,50.8473,29.291
0.216415,97.2216,67.4372
0,25.8511,55.6559
0.413958,148.427,160.899
0,94.0862,169.639
0,56.5893,59.9124
0.0987523,132.798,-131.397
3.84582,163.137,27.0944
0,21.2619,-26.8254
0.408136,50.953,-47.9963
78.6837,54.0984,-47.9709
157.665,36.3494,152.785
0,147.305,-156.794
0,132.334,139.335
1.02481,47.9823,6.50278
0,110.259,-56.908
0,154.991,60.7269
0.0948611,138.038,-11.5913
0,51.1476,86.5842
0,96.9483,41.9757
0,11.1483,37.6258
6.82536,101.598,-53.9689
0,97.6381,-144.485
0.298316,117.671,-55.8129
0.36834,36.7361,9.67239
0,51.0317,-59.4123
0.0346137,36.1679,-43.3006
0,97.1247,-107.41
0.75853,81.4753,-57.0543
0,73.4523,41.5575
0.33445,68.7221,173.567
0,138.006,94.7925
0.13934,110.62,-92.3335
0,107.941,-17.8536
0,50.491,73.4152
0,91.3491,175.84
0.0507864,63.8397,77.9929
0,26.426,-67.1892
0,109.154,56.0805
0.480021,140.321,-26.4574
0,72.2116,31.5538
0,118.312,13.9585
0,77.0261,-9.36398
0.0648357,31.8436,-70.1403
0,13.0327,-135.904
2.49806,87.7021,-60.4853
0,107.363,65.3684
0,137.998,-31.7142
0.280436,79.5019,-52.8886
0,47.9844,-92.287
0,103.948,-179.582
0.075945,77.7305,-84.948
0,32.9316,-147.922
0.714546,39.7793,-115.516
0,23.3963,-161.331
0.246666,97.5681,-144.796
0,171.229,44.7301
0,42.453,-46.7089
0.039091,66.6892,-14.6155
0,139.99,46.6412
0.123086,111.517,116.305
0,69.7788,-176.536
0,11.9968,-110.784
0,73.5458,-19.7974
0,122.14,-48.128
0,122.353,108.514
0,81.5935,30.5796
0.0726806,115.375,63.696
0,64.0283,135.33
0,94.8965,-28.9148
0,124.502,-94.3263
0,74.2807,72.8034
0,61.5851,-147.59
0,34.1687,-61.4856
0,61.2855,85.9252
0,85.8617,-159.647
0.200495,89.2709,134.294
0,95.7516,-159.602
0,97.6599,-22.9421
0,53.6303,-153.616
0,99.7331,119.812
0,61.7926,-141.033
0,126.538,-13.5085
0,143.136,-131.399
